Aachener Straße,StreetError
Alt-Britz_100_12359,ZeroSchoolsError
Alt-Britz_101_12359,ZeroSchoolsError
Alt-Britz_102_12359,ZeroSchoolsError
Alt-Britz_104_12359,ZeroSchoolsError
Alt-Britz_105_12359,ZeroSchoolsError
Alt-Britz_106_12359,ZeroSchoolsError
Alt-Britz_107_12359,ZeroSchoolsError
Alt-Britz_108_12359,ZeroSchoolsError
Alt-Britz_112_12359,ZeroSchoolsError
Alt-Britz_113_12359,ZeroSchoolsError
Altenauer Weg_5_12209,StreetNoError
Altenauer Weg_6_12209,StreetNoError
Altenbraker Straße_12_12053,StreetNoError
Altensteinstraße_1_14195,StreetNoError
Altensteinstraße_36_14195,StreetNoError
Altensteinstraße_44_14195,StreetNoError
Alt-Lübars_30_13469,StreetNoError
Altonaer Straße_73_13581,StreetNoError
Alt-Pichelsdorf_6_13595,StreetNoError
Alt-Pichelsdorf_37_13595,StreetNoError
Alt-Pichelsdorf_39_13595,StreetNoError
Alt-Schönow_7_14165,StreetNoError
Alt-Schönow_14_14165,StreetNoError
Amendestraße_42_13409,StreetNoError
Am Fichtenberg_14_12165,StreetNoError
Am Kleinen Wannsee_24_14109,StreetNoError
Am Pfingstberg_27_13465,StreetNoError
An der Kappe_126_13583,StreetNoError
An der Schneise_2_13503,StreetNoError
An der Wildbahn_1_13503,StreetNoError
Angermünder Straße_45_12305,StreetNoError
Arnikaweg_27_12357,StreetNoError
Ascherslebener Weg_1_12355,ZeroSchoolsError
Ascherslebener Weg_2_12355,ZeroSchoolsError
Ascherslebener Weg_3_12355,ZeroSchoolsError
Ascherslebener Weg_4_12355,ZeroSchoolsError
Ascherslebener Weg_5_12355,ZeroSchoolsError
Ascherslebener Weg_6_12355,ZeroSchoolsError
Ascherslebener Weg_7_12355,ZeroSchoolsError
Ascherslebener Weg_8_12355,ZeroSchoolsError
Ascherslebener Weg_9_12355,ZeroSchoolsError
Ascherslebener Weg_10_12355,ZeroSchoolsError
Ascherslebener Weg_12_12355,ZeroSchoolsError
Ascherslebener Weg_13_12355,ZeroSchoolsError
Ascherslebener Weg_14_12355,ZeroSchoolsError
Ascherslebener Weg_15_12355,ZeroSchoolsError
Ascherslebener Weg_16_12355,ZeroSchoolsError
Askanierring_50_13585,StreetNoError
Askanierring_55_13585,StreetNoError
Attilastraße_80_12247,StreetNoError
Augsburger Straße_8_12309,StreetNoError
Backbergstraße_1_12359,ZeroSchoolsError
Backbergstraße_2_12359,ZeroSchoolsError
Backbergstraße_3_12359,ZeroSchoolsError
Backbergstraße_4_12359,ZeroSchoolsError
Backbergstraße_5_12359,ZeroSchoolsError
Backbergstraße_6_12359,ZeroSchoolsError
Backbergstraße_8_12359,ZeroSchoolsError
Backbergstraße_10_12359,ZeroSchoolsError
Backbergstraße_12_12359,ZeroSchoolsError
Backbergstraße_13_12359,ZeroSchoolsError
Backbergstraße_15_12359,ZeroSchoolsError
Backbergstraße_18_12359,ZeroSchoolsError
Backbergstraße_22_12359,ZeroSchoolsError
Backbergstraße_23_12359,ZeroSchoolsError
Backbergstraße_24_12359,ZeroSchoolsError
Backbergstraße_25_12359,ZeroSchoolsError
Backbergstraße_26_12359,ZeroSchoolsError
Backbergstraße_27_12359,ZeroSchoolsError
Backbergstraße_30_12359,ZeroSchoolsError
Backbergstraße_38_12359,ZeroSchoolsError
Backbergstraße_40_12359,ZeroSchoolsError
Badstraße_8_13357,StreetNoError
Bäkestraße_5_14109,StreetNoError
Baerwaldstraße_6_10961,StreetNoError
Baldersheimer Weg_47_12349,StreetNoError
Baluschekweg_37_13591,StreetNoError
Bassermannweg_1_12207,StreetNoError
Battenheimer Weg_4_12349,StreetNoError
Baumläuferweg_18_12351,StreetNoError
Baumläuferweg_40_12351,StreetNoError
Beerwinkel_2_13589,StreetNoError
Beifußweg_72_12357,StreetNoError
Bellermannstraße_83_13357,StreetNoError
Benediktinerstraße_48_13465,StreetNoError
Berlepschstraße_33_14165,StreetNoError
Berlepschstraße_35_14165,StreetNoError
Berlepschstraße_37_14165,StreetNoError
Berlepschstraße_39_14165,StreetNoError
Berlepschstraße_41_14165,StreetNoError
Berlepschstraße_43_14165,StreetNoError
Berlepschstraße_45_14165,StreetNoError
Berlepschstraße_47_14165,StreetNoError
Berlepschstraße_49_14165,StreetNoError
Berlepschstraße_51_14165,StreetNoError
Berlepschstraße_53_14165,StreetNoError
Berlepschstraße_55_14165,StreetNoError
Berliner Straße_16_13467,StreetNoError
Berner Straße_21_12205,StreetNoError
Berner Straße_44_12205,StreetNoError
Bertastraße_9_13467,StreetNoError
Beyschlagstraße_13_13503,StreetNoError
Bifröstweg_2_13465,StreetNoError
Bildhauerweg_2_12355,ZeroSchoolsError
Bildhauerweg_4_12355,ZeroSchoolsError
Bildhauerweg_6_12355,ZeroSchoolsError
Bildhauerweg_10_12355,ZeroSchoolsError
Bildhauerweg_16_12355,ZeroSchoolsError
Bildhauerweg_20_12355,ZeroSchoolsError
Bildhauerweg_14_12355,ZeroSchoolsError
Bildhauerweg_8_12355,ZeroSchoolsError
Bildhauerweg_24_12355,ZeroSchoolsError
Bildhauerweg_22_12355,ZeroSchoolsError
Bildhauerweg_26_12355,ZeroSchoolsError
Bildhauerweg_30_12355,ZeroSchoolsError
Bildhauerweg_28_12355,ZeroSchoolsError
Bildhauerweg_34_12355,ZeroSchoolsError
Bildhauerweg_40_12355,ZeroSchoolsError
Bildhauerweg_38_12355,ZeroSchoolsError
Bildhauerweg_42_12355,ZeroSchoolsError
Bildhauerweg_36_12355,ZeroSchoolsError
Birkhuhnweg_33_12351,StreetNoError
Bitterfelder Weg_62_12355,ZeroSchoolsError
Bitterfelder Weg_64_12355,ZeroSchoolsError
Bitterfelder Weg_66_12355,ZeroSchoolsError
Bitterfelder Weg_68_12355,ZeroSchoolsError
Bitterfelder Weg_70_12355,ZeroSchoolsError
Bitterfelder Weg_76_12355,ZeroSchoolsError
Bitterfelder Weg_72_12355,ZeroSchoolsError
Bitterfelder Weg_78_12355,ZeroSchoolsError
Bitterfelder Weg_80_12355,ZeroSchoolsError
Bitterfelder Weg_86_12355,ZeroSchoolsError
Bitterfelder Weg_90_12355,ZeroSchoolsError
Bitterfelder Weg_96_12355,ZeroSchoolsError
Bitterfelder Weg_88_12355,ZeroSchoolsError
Bitterfelder Weg_98_12355,ZeroSchoolsError
Bitterfelder Weg_100_12355,ZeroSchoolsError
Blaschkoallee_70_12359,StreetNoError
Blaschkoallee_71_12359,ZeroSchoolsError
Bitterfelder Weg_102_12355,ZeroSchoolsError
Blaschkoallee_73_12359,ZeroSchoolsError
Blaschkoallee_75_12359,ZeroSchoolsError
Blücherstraße_66_10961,StreetNoError
Bocholter Weg_45_13507,StreetNoError
Blücherstraße_6_12207,StreetNoError
Blücherstraße_65_10961,StreetNoError
Bocksfeldstraße_24_13595,StreetNoError
Bödikersteig_6_13629,StreetNoError
Boetticherstraße_3_14195,StreetNoError
Boetticherstraße_7_14195,StreetNoError
Boetticherstraße_13_14195,StreetNoError
Boetticherstraße_15_14195,StreetNoError
Boetticherstraße_9_14195,StreetNoError
Bolivarallee_15_14050,StreetNoError
Boothstraße_12_12207,StreetNoError
Bornaer Straße_4_12355,ZeroSchoolsError
Bornaer Straße_3_12355,ZeroSchoolsError
Bornaer Straße_7_12355,ZeroSchoolsError
Bornaer Straße_5_12355,ZeroSchoolsError
Bornaer Straße_8_12355,ZeroSchoolsError
Bornaer Straße_10_12355,ZeroSchoolsError
Bornaer Straße_11_12355,ZeroSchoolsError
Bornaer Straße_12_12355,ZeroSchoolsError
Bornaer Straße_9_12355,ZeroSchoolsError
Bornaer Straße_13_12355,ZeroSchoolsError
Bornaer Straße_15_12355,ZeroSchoolsError
Bornaer Straße_14_12355,ZeroSchoolsError
Bornaer Straße_17_12355,ZeroSchoolsError
Bornaer Straße_16_12355,ZeroSchoolsError
Braunfelsstraße_90_12309,StreetNoError
Bremer Straße_1_12207,StreetNoError
Breitunger Weg_22_12349,StreetNoError
Britzer Damm_116_12347,ZeroSchoolsError
Britzer Damm_115_12347,ZeroSchoolsError
Britzer Damm_117_12347,ZeroSchoolsError
Britzer Damm_118_12347,ZeroSchoolsError
Britzer Damm_119_12347,ZeroSchoolsError
Britzer Damm_123_12347,ZeroSchoolsError
Britzer Damm_120_12347,ZeroSchoolsError
Britzer Damm_121_12347,ZeroSchoolsError
Britzer Damm_125_12347,ZeroSchoolsError
Britzer Damm_127_12347,ZeroSchoolsError
Britzer Damm_128_12347,ZeroSchoolsError
Britzer Damm_130_12347,ZeroSchoolsError
Britzer Damm_129_12347,ZeroSchoolsError
Britzer Damm_131_12347,ZeroSchoolsError
Britzer Damm_132_12347,ZeroSchoolsError
Britzer Damm_133_12347,ZeroSchoolsError
Britzer Damm_134_12347,ZeroSchoolsError
Britzer Damm_135_12347,ZeroSchoolsError
Britzer Damm_136_12347,ZeroSchoolsError
Britzer Damm_138_12347,ZeroSchoolsError
Britzer Damm_139_12347,ZeroSchoolsError
Britzer Damm_143_12347,ZeroSchoolsError
Britzer Damm_141_12347,ZeroSchoolsError
Britzer Damm_145_12347,ZeroSchoolsError
Britzer Damm_146_12347,ZeroSchoolsError
Britzer Damm_147_12347,ZeroSchoolsError
Britzer Damm_148_12347,ZeroSchoolsError
Britzer Damm_149_12347,ZeroSchoolsError
Britzer Damm_150_12347,ZeroSchoolsError
Britzer Damm_151_12347,ZeroSchoolsError
Britzer Damm_152_12347,ZeroSchoolsError
Britzer Damm_154_12347,ZeroSchoolsError
Britzer Damm_153_12347,ZeroSchoolsError
Britzer Damm_155_12347,ZeroSchoolsError
Britzer Damm_164_12347,ZeroSchoolsError
Britzer Damm_173_12347,ZeroSchoolsError
Britzer Damm_176_12347,ZeroSchoolsError
Britzer Damm_175_12347,ZeroSchoolsError
Britzer Damm_177_12347,ZeroSchoolsError
Britzer Damm_179_12347,ZeroSchoolsError
Britzer Damm_180_12347,ZeroSchoolsError
Britzer Damm_181_12347,ZeroSchoolsError
Britzer Damm_182_12347,ZeroSchoolsError
Britzer Damm_184_12347,ZeroSchoolsError
Britzer Damm_185_12347,ZeroSchoolsError
Britzer Damm_186_12347,ZeroSchoolsError
Britzer Damm_190_12347,ZeroSchoolsError
Britzer Damm_189_12347,ZeroSchoolsError
Britzer Damm_191_12347,ZeroSchoolsError
Britzer Damm_193_12347,ZeroSchoolsError
Britzer Damm_195_12347,ZeroSchoolsError
Britzer Damm_197_12347,ZeroSchoolsError
Britzer Damm_196_12347,ZeroSchoolsError
Britzer Damm_198_12347,ZeroSchoolsError
Britzer Damm_199_12347,ZeroSchoolsError
Britzer Damm_200_12347,ZeroSchoolsError
Britzer Damm_201_12347,ZeroSchoolsError
Britzer Damm_203_12347,ZeroSchoolsError
Britzer Damm_205_12347,ZeroSchoolsError
Britzer Damm_204_12347,ZeroSchoolsError
Britzer Damm_206_12347,ZeroSchoolsError
Britzer Damm_207_12347,ZeroSchoolsError
Britzer Damm_208_12347,ZeroSchoolsError
Britzer Damm_209_12347,ZeroSchoolsError
Britzer Damm_210_12347,ZeroSchoolsError
Brombeerweg_26_14052,StreetNoError
Brombeerweg_30_14052,StreetNoError
Brombeerweg_28_14052,StreetNoError
Brüsseler Straße_52_13353,StreetNoError
Buckower Damm_1_12349,ZeroSchoolsError
Buckower Damm_3_12349,ZeroSchoolsError
Buckower Damm_5_12349,ZeroSchoolsError
Buckower Damm_7_12349,ZeroSchoolsError
Buckower Damm_9_12349,ZeroSchoolsError
Buckower Damm_20_12349,ZeroSchoolsError
Bürgipfad_2_12209,StreetNoError
Buckower Damm_11_12349,ZeroSchoolsError
Buckower Damm_30_12349,ZeroSchoolsError
Buckower Damm_31_12349,ZeroSchoolsError
Buschkrugallee_131_12359,ZeroSchoolsError
Buschkrugallee_137_12359,ZeroSchoolsError
Buschkrugallee_132_12359,ZeroSchoolsError
Buschkrugallee_134_12359,ZeroSchoolsError
Buschkrugallee_136_12359,ZeroSchoolsError
Buschkrugallee_140_12359,ZeroSchoolsError
Buschkrugallee_144_12359,ZeroSchoolsError
Buschkrugallee_142_12359,ZeroSchoolsError
Buschkrugallee_139_12359,ZeroSchoolsError
Buschkrugallee_138_12359,ZeroSchoolsError
Buschkrugallee_146_12359,ZeroSchoolsError
Buschkrugallee_152_12359,ZeroSchoolsError
Buschkrugallee_148_12359,ZeroSchoolsError
Buschkrugallee_150_12359,ZeroSchoolsError
Buschkrugallee_154_12359,ZeroSchoolsError
Buschkrugallee_156_12359,ZeroSchoolsError
Buschkrugallee_158_12359,ZeroSchoolsError
Buschkrugallee_177_12359,ZeroSchoolsError
Buschkrugallee_179_12359,ZeroSchoolsError
Buschkrugallee_159_12359,ZeroSchoolsError
Buschkrugallee_181_12359,ZeroSchoolsError
Buschkrugallee_183_12359,ZeroSchoolsError
Buschkrugallee_180_12359,ZeroSchoolsError
Buschkrugallee_184_12359,ZeroSchoolsError
Buschkrugallee_182_12359,ZeroSchoolsError
Buschkrugallee_185_12359,ZeroSchoolsError
Buschkrugallee_186_12359,ZeroSchoolsError
Buschkrugallee_187_12359,ZeroSchoolsError
Buschkrugallee_188_12359,ZeroSchoolsError
Buschkrugallee_189_12359,ZeroSchoolsError
Buschkrugallee_190_12359,ZeroSchoolsError
Buschkrugallee_191_12359,ZeroSchoolsError
Buschkrugallee_194_12359,ZeroSchoolsError
Buschkrugallee_193_12359,ZeroSchoolsError
Buschkrugallee_192_12359,ZeroSchoolsError
Buschkrugallee_195_12359,ZeroSchoolsError
Buschkrugallee_196_12359,ZeroSchoolsError
Buschkrugallee_200_12359,ZeroSchoolsError
Buschkrugallee_199_12359,ZeroSchoolsError
Buschkrugallee_201_12359,ZeroSchoolsError
Buschkrugallee_197_12359,ZeroSchoolsError
Buschkrugallee_202_12359,ZeroSchoolsError
Buschkrugallee_205_12359,ZeroSchoolsError
Buschkrugallee_203_12359,ZeroSchoolsError
Buschkrugallee_206_12359,ZeroSchoolsError
Buschkrugallee_204_12359,ZeroSchoolsError
Buschkrugallee_207_12359,ZeroSchoolsError
Buschkrugallee_208_12359,ZeroSchoolsError
Buschkrugallee_209_12359,ZeroSchoolsError
Buschkrugallee_211_12359,ZeroSchoolsError
Buschkrugallee_210_12359,ZeroSchoolsError
Buschkrugallee_212_12359,ZeroSchoolsError
Buschkrugallee_213_12359,ZeroSchoolsError
Buschkrugallee_217_12359,ZeroSchoolsError
Buschkrugallee_219_12359,ZeroSchoolsError
Buschkrugallee_215_12359,ZeroSchoolsError
Buschkrugallee_221_12359,ZeroSchoolsError
Caspar-Theyß-Straße_8_14193,StreetNoError
Chamissostraße_52_13587,StreetNoError
Corker Straße_32_13349,StreetNoError
Cordesstraße_2_14055,StreetNoError
Corker Straße_34_13349,StreetNoError
Dahlemer Weg_186_14167,StreetNoError
Damwildsteig_2_13503,StreetNoError
Dessauerstraße_26_12249,StreetNoError
Dennewitzstraße_24_10783,StreetNoError
Deutschtaler Straße_10_12355,StreetNoError
Deutschtaler Straße_8_12355,StreetNoError
Distelfinkweg_50_12357,StreetNoError
Dömitzer Straße_6_12359,ZeroSchoolsError
Dömitzer Straße_4_12359,ZeroSchoolsError
Dömitzer Straße_7_12359,ZeroSchoolsError
Dömitzer Straße_8_12359,ZeroSchoolsError
Dömitzer Straße_10_12359,ZeroSchoolsError
Dömitzer Straße_13_12359,ZeroSchoolsError
Dömitzer Straße_15_12359,ZeroSchoolsError
Dömitzer Straße_12_12359,ZeroSchoolsError
Dömitzer Straße_14_12359,ZeroSchoolsError
Dömitzer Straße_16_12359,ZeroSchoolsError
Dömitzer Straße_19_12359,ZeroSchoolsError
Dömitzer Straße_17_12359,ZeroSchoolsError
Dömitzer Straße_18_12359,ZeroSchoolsError
Dömitzer Straße_20_12359,ZeroSchoolsError
Dömitzer Straße_21_12359,ZeroSchoolsError
Dömitzer Straße_23_12359,ZeroSchoolsError
Dömitzer Straße_25_12359,ZeroSchoolsError
Dömitzer Straße_22_12359,ZeroSchoolsError
Dömitzer Straße_24_12359,ZeroSchoolsError
Dömitzer Straße_26_12359,ZeroSchoolsError
Dömitzer Straße_27_12359,ZeroSchoolsError
Dömitzer Straße_29_12359,ZeroSchoolsError
Dömitzer Straße_28_12359,ZeroSchoolsError
Dömitzer Straße_30_12359,ZeroSchoolsError
Dömitzer Straße_31_12359,ZeroSchoolsError
Dömitzer Straße_32_12359,ZeroSchoolsError
Dömitzer Straße_35_12359,ZeroSchoolsError
Dömitzer Straße_33_12359,ZeroSchoolsError
Dömitzer Straße_42_12359,ZeroSchoolsError
Dömitzer Straße_38_12359,ZeroSchoolsError
Dömitzer Straße_40_12359,ZeroSchoolsError
Dömitzer Straße_36_12359,ZeroSchoolsError
Dömitzer Straße_37_12359,ZeroSchoolsError
Dömitzer Straße_41_12359,ZeroSchoolsError
Dömitzer Straße_39_12359,ZeroSchoolsError
Dömitzer Straße_34_12359,ZeroSchoolsError
Dömitzer Straße_44_12359,ZeroSchoolsError
Dömitzer Straße_45_12359,ZeroSchoolsError
Dömitzer Straße_43_12359,ZeroSchoolsError
Dömitzer Straße_49_12359,ZeroSchoolsError
Dömitzer Straße_46_12359,ZeroSchoolsError
Dömitzer Straße_48_12359,ZeroSchoolsError
Dömitzer Straße_51_12359,ZeroSchoolsError
Dömitzer Straße_50_12359,ZeroSchoolsError
Dömitzer Straße_52_12359,ZeroSchoolsError
Dömitzer Straße_47_12359,ZeroSchoolsError
Dömitzer Straße_53_12359,ZeroSchoolsError
Dömitzer Straße_56_12359,ZeroSchoolsError
Dömitzer Straße_58_12359,ZeroSchoolsError
Dörchläuchtingstraße_5_12359,ZeroSchoolsError
Dörchläuchtingstraße_3_12359,ZeroSchoolsError
Dörchläuchtingstraße_6_12359,ZeroSchoolsError
Dörchläuchtingstraße_4_12359,ZeroSchoolsError
Dörchläuchtingstraße_1_12359,ZeroSchoolsError
Dörchläuchtingstraße_2_12359,ZeroSchoolsError
Dömitzer Straße_54_12359,ZeroSchoolsError
Dörchläuchtingstraße_7_12359,ZeroSchoolsError
Dörchläuchtingstraße_8_12359,ZeroSchoolsError
Dörchläuchtingstraße_14_12359,ZeroSchoolsError
Dörchläuchtingstraße_12_12359,ZeroSchoolsError
Dörchläuchtingstraße_16_12359,ZeroSchoolsError
Dörchläuchtingstraße_9_12359,ZeroSchoolsError
Dörchläuchtingstraße_18_12359,ZeroSchoolsError
Dörchläuchtingstraße_19_12359,ZeroSchoolsError
Dörchläuchtingstraße_10_12359,ZeroSchoolsError
Dörchläuchtingstraße_20_12359,ZeroSchoolsError
Dörchläuchtingstraße_22_12359,ZeroSchoolsError
Dörchläuchtingstraße_29_12359,ZeroSchoolsError
Dörchläuchtingstraße_25_12359,ZeroSchoolsError
Dörchläuchtingstraße_21_12359,ZeroSchoolsError
Dörchläuchtingstraße_23_12359,ZeroSchoolsError
Dörchläuchtingstraße_30_12359,ZeroSchoolsError
Dörchläuchtingstraße_26_12359,ZeroSchoolsError
Dörchläuchtingstraße_28_12359,ZeroSchoolsError
Dörchläuchtingstraße_27_12359,ZeroSchoolsError
Dörchläuchtingstraße_24_12359,ZeroSchoolsError
Dörchläuchtingstraße_31_12359,ZeroSchoolsError
Dörchläuchtingstraße_35_12359,ZeroSchoolsError
Dörchläuchtingstraße_39_12359,ZeroSchoolsError
Dörchläuchtingstraße_38_12359,ZeroSchoolsError
Dörchläuchtingstraße_32_12359,ZeroSchoolsError
Dörchläuchtingstraße_40_12359,ZeroSchoolsError
Dörchläuchtingstraße_34_12359,ZeroSchoolsError
Dörchläuchtingstraße_36_12359,ZeroSchoolsError
Dörchläuchtingstraße_33_12359,ZeroSchoolsError
Dörchläuchtingstraße_37_12359,ZeroSchoolsError
Dörchläuchtingstraße_41_12359,ZeroSchoolsError
Dörchläuchtingstraße_43_12359,ZeroSchoolsError
Dörchläuchtingstraße_42_12359,ZeroSchoolsError
Dörchläuchtingstraße_45_12359,ZeroSchoolsError
Dörchläuchtingstraße_47_12359,ZeroSchoolsError
Dörchläuchtingstraße_44_12359,ZeroSchoolsError
Dörchläuchtingstraße_48_12359,ZeroSchoolsError
Dörchläuchtingstraße_46_12359,ZeroSchoolsError
Dörchläuchtingstraße_50_12359,ZeroSchoolsError
Dörchläuchtingstraße_49_12359,ZeroSchoolsError
Dohnenstieg_24_14195,StreetNoError
Dorfstraße_68_13597,StreetNoError
Dorfstraße_67_13597,StreetNoError
Drakestraße_43_12205,StreetNoError
Dorfstraße_69_13597,StreetNoError
Drakestraße_27_12205,StreetNoError
Drusenheimer Weg_1_12349,StreetNoError
Drakestraße_12_12205,StreetNoError
Drusenheimer Weg_2_12349,StreetNoError
Dürtenstraße_1_12359,ZeroSchoolsError
Dürtenstraße_2_12359,ZeroSchoolsError
Dürtenstraße_4_12359,ZeroSchoolsError
Dürtenstraße_3_12359,ZeroSchoolsError
Dürtenstraße_5_12359,ZeroSchoolsError
Dürtenstraße_6_12359,ZeroSchoolsError
Dürtenstraße_7_12359,ZeroSchoolsError
Dürtenstraße_8_12359,ZeroSchoolsError
Dürtenstraße_9_12359,ZeroSchoolsError
Dürtenstraße_10_12359,ZeroSchoolsError
Dürtenstraße_11_12359,ZeroSchoolsError
Dürtenstraße_12_12359,ZeroSchoolsError
Efeuweg_2_12357,ZeroSchoolsError
Efeuweg_3_12357,ZeroSchoolsError
Efeuweg_4_12357,ZeroSchoolsError
Efeuweg_5_12357,ZeroSchoolsError
Efeuweg_6_12357,ZeroSchoolsError
Efeuweg_7_12357,ZeroSchoolsError
Efeuweg_8_12357,ZeroSchoolsError
Efeuweg_9_12357,ZeroSchoolsError
Efeuweg_10_12357,ZeroSchoolsError
Efeuweg_12_12357,ZeroSchoolsError
Efeuweg_11_12357,ZeroSchoolsError
Efeuweg_13_12357,StreetNoError
Efeuweg_14_12357,ZeroSchoolsError
Efeuweg_19_12357,ZeroSchoolsError
Efeuweg_17_12357,ZeroSchoolsError
Efeuweg_18_12357,ZeroSchoolsError
Efeuweg_16_12357,ZeroSchoolsError
Efeuweg_20_12357,ZeroSchoolsError
Efeuweg_15_12357,ZeroSchoolsError
Efeuweg_21_12357,ZeroSchoolsError
Efeuweg_29_12357,ZeroSchoolsError
Efeuweg_22_12357,ZeroSchoolsError
Efeuweg_28_12357,ZeroSchoolsError
Efeuweg_34_12357,ZeroSchoolsError
Efeuweg_31_12357,ZeroSchoolsError
Efeuweg_37_12357,ZeroSchoolsError
Efeuweg_35_12357,ZeroSchoolsError
Efeuweg_39_12357,ZeroSchoolsError
Efeuweg_38_12357,ZeroSchoolsError
Ehrenbergstraße_34_14195,StreetNoError
Ehrenbergstraße_36_14195,StreetNoError
Efeuweg_43_12357,ZeroSchoolsError
Efeuweg_41_12357,ZeroSchoolsError
Ekensunder Weg_8_12305,StreetNoError
Eichkatzweg_1_14055,StreetNoError
Elisabethstraße_8_12247,StreetNoError
Ellricher Straße_1_12347,StreetNoError
Elisabethstraße_12_12247,StreetNoError
Eichkatzweg_2_14055,StreetNoError
Englerallee_24_14195,StreetNoError
Elvirasteig_25_14163,StreetNoError
Elmshorner Straße_52_14167,StreetNoError
Elmshorner Straße_19_14167,StreetNoError
Eugen-Bolz-Kehre_3_12351,ZeroSchoolsError
Eugen-Bolz-Kehre_1_12351,ZeroSchoolsError
Eugen-Bolz-Kehre_2_12351,ZeroSchoolsError
Eugen-Bolz-Kehre_5_12351,ZeroSchoolsError
Eugen-Bolz-Kehre_6_12351,ZeroSchoolsError
Eugen-Bolz-Kehre_10_12351,ZeroSchoolsError
Eugen-Bolz-Kehre_4_12351,ZeroSchoolsError
Eugen-Bolz-Kehre_12_12351,ZeroSchoolsError
Eugen-Bolz-Kehre_8_12351,ZeroSchoolsError
Falstaffweg_2_13593,StreetNoError
Eugen-Bolz-Kehre_14_12351,ZeroSchoolsError
Feldstraße_10_13585,StreetNoError
Feldstraße_39_12207,StreetNoError
Fennstraße_50_13353,StreetNoError
Karl-Hofer-Straße_8_14163,StreetNoError
Flatower Straße_32_13589,StreetNoError
Fennstraße_53_13353,StreetNoError
Flurweg_38_12357,StreetNoError
Flurweg_72_12357,StreetNoError
Fennstraße_51_13353,StreetNoError
Flatower Straße_40_13589,StreetNoError
Fennstraße_52_13353,StreetNoError
Flurweg_20_12357,StreetNoError
Forststraße_26_12163,StreetNoError
Framstraße_3_12047,ZeroSchoolsError
Framstraße_5_12047,ZeroSchoolsError
Framstraße_15_12047,ZeroSchoolsError
Framstraße_7_12047,ZeroSchoolsError
Framstraße_11_12047,ZeroSchoolsError
Framstraße_13_12047,ZeroSchoolsError
Framstraße_17_12047,ZeroSchoolsError
Framstraße_9_12047,ZeroSchoolsError
Franzstraße_2_12247,StreetNoError
Framstraße_19_12047,ZeroSchoolsError
Friedrichrodaer Straße_77_12249,StreetNoError
Frischborner Weg_1_13435,StreetNoError
Friedrich-Kayßler-Weg_3_12353,ZeroSchoolsError
Fritz-Erler-Allee_122_12351,ZeroSchoolsError
Fritz-Erler-Allee_110_12351,ZeroSchoolsError
Fritz-Erler-Allee_112_12351,ZeroSchoolsError
Fritz-Erler-Allee_116_12351,ZeroSchoolsError
Fritz-Erler-Allee_114_12351,ZeroSchoolsError
Friedrich-Kayßler-Weg_5_12353,ZeroSchoolsError
Fritz-Erler-Allee_120_12351,ZeroSchoolsError
Fritz-Erler-Allee_134_12351,ZeroSchoolsError
Fritz-Erler-Allee_124_12351,ZeroSchoolsError
